rating	year	quarter
NA	1945	1
87	1945	2
82	1945	3
75	1945	4
63	1946	1
50	1946	2
43	1946	3
32	1946	4
35	1947	1
60	1947	2
54	1947	3
55	1947	4
36	1948	1
39	1948	2
NA	1948	3
NA	1948	4
69	1949	1
57	1949	2
57	1949	3
51	1949	4
45	1950	1
37	1950	2
46	1950	3
39	1950	4
36	1951	1
24	1951	2
32	1951	3
23	1951	4
25	1952	1
32	1952	2
NA	1952	3
32	1952	4
59	1953	1
74	1953	2
75	1953	3
60	1953	4
71	1954	1
61	1954	2
71	1954	3
57	1954	4
71	1955	1
68	1955	2
79	1955	3
73	1955	4
76	1956	1
71	1956	2
67	1956	3
75	1956	4
79	1957	1
62	1957	2
63	1957	3
57	1957	4
60	1958	1
49	1958	2
48	1958	3
52	1958	4
57	1959	1
62	1959	2
61	1959	3
66	1959	4
71	1960	1
62	1960	2
61	1960	3
57	1960	4
72	1961	1
83	1961	2
71	1961	3
78	1961	4
79	1962	1
71	1962	2
62	1962	3
74	1962	4
76	1963	1
64	1963	2
62	1963	3
57	1963	4
80	1964	1
73	1964	2
69	1964	3
69	1964	4
71	1965	1
64	1965	2
69	1965	3
62	1965	4
63	1966	1
46	1966	2
56	1966	3
44	1966	4
44	1967	1
52	1967	2
38	1967	3
46	1967	4
36	1968	1
49	1968	2
35	1968	3
44	1968	4
59	1969	1
65	1969	2
65	1969	3
56	1969	4
66	1970	1
53	1970	2
61	1970	3
52	1970	4
51	1971	1
48	1971	2
54	1971	3
49	1971	4
49	1972	1
61	1972	2
NA	1972	3
NA	1972	4
68	1973	1
44	1973	2
40	1973	3
27	1973	4
28	1974	1
25	1974	2
24	1974	3
24	1974	4
