feature	sample	value
1	FBLIH	A	1
2	CKAKF	A	1
3	YOSIB	A	1
4	ASPLE	A	1
5	JXKNE	A	1
6	JLMND	A	1
7	LEAUR	A	1
8	ECXEL	A	1
9	XKIEX	A	1
10	RZIDM	A	1
11	VAPGD	A	1
12	MDABK	A	1
13	FIAED	A	1
14	XPVTP	A	1
15	IWNAV	A	1
16	KGVRE	A	1
17	ZHERW	A	1
18	DKFZM	A	1
19	QVBFP	A	1
20	UDIUU	A	1
21	NDNWG	A	1
22	XTPJI	A	1
23	JOKYM	A	1
24	WTWWF	A	1
25	JHUML	A	1
26	GFUEV	A	1
27	YMYIP	A	1
28	ZRKVC	A	1
29	GQDID	A	1
30	NSEZF	A	1
31	MIPBY	A	1
32	DOJMB	A	1
33	AXJRS	A	1
34	RUWBR	A	1
35	SVPXO	A	1
36	VAUAJ	A	1
37	WVWWX	A	1
38	YNJIV	A	1
39	MTOEZ	A	1
40	BWMDR	A	1
41	ZRGVS	A	1
42	PACMH	A	1
43	MXPQW	A	1
44	AMART	A	1
45	FEYXA	A	1
46	YBRVI	A	1
47	RWASE	A	1
48	VLLJN	A	1
49	AIGUH	A	1
50	FHGMD	A	1
51	OLAMG	A	1
52	HLYXD	A	1
53	GRMXH	A	1
54	XIDWA	A	1
55	OCFRN	A	1
56	BYEOM	A	1
57	ESLQL	A	1
58	VOUMY	A	1
59	ERXOK	A	1
60	ACLKL	A	1
61	UCPGO	A	1
62	LKAJU	A	1
63	MRQCP	A	1
64	ADEMO	A	1
65	ISEXX	A	1
66	KVELM	A	1
67	YEWLT	A	1
68	PEGPT	A	1
69	IMQVR	A	1
70	FEKJV	A	1
71	XRKKD	A	1
72	ZRVVU	A	1
73	WUEVP	A	1
74	IJOJG	A	1
75	YLWWB	A	1
76	NLEBG	A	1
77	MHQGZ	A	1
78	PRPXD	A	1
79	XIQHB	A	1
80	EHCSW	A	1
81	LSIUN	A	1
82	MXNCY	A	1
83	AQZAX	A	1
84	XPLOY	A	1
85	ZHCDZ	A	1
86	TZMWT	A	1
87	NESVJ	A	1
88	WQNNJ	A	1
89	URPZG	A	1
90	SZZDE	A	1
91	XULZS	A	1
92	LUWNX	A	1
93	HODXE	A	1
94	VJKYP	A	1
95	UMTCH	A	1
96	UYARE	A	1
97	KNUDK	A	1
98	LLTDU	A	1
99	CPQEL	A	1
100	DZWMP	A	1
101	KBCCG	A	1
102	XTNJH	A	1
103	XSFEP	A	1
104	XQANQ	A	1
105	VFHCN	A	1
106	RPQFU	A	1
107	XYJIP	A	1
108	REHHH	A	1
109	SDRFA	A	1
110	KWBRR	A	1
111	YFJEB	A	1
112	DQLYE	A	1
113	JDHIC	A	1
114	LSMSQ	A	1
115	LFCWG	A	1
116	EAWNL	A	1
117	HHQRE	A	1
118	ILOFZ	A	1
119	JPXLT	A	1
120	OOJUV	A	1
121	LOICA	A	1
122	NLZLI	A	1
123	UFOKM	A	1
124	NJUDQ	A	1
125	UJQFG	A	1
126	JGZYQ	A	1
127	ELTKA	A	1
128	FKPOU	A	1
129	USHEE	A	1
130	HFACF	A	1
131	FSOJO	A	1
132	QMSAN	A	1
133	WKOCP	A	1
134	OQLQS	A	1
135	ZAUBL	A	1
136	DMPNL	A	1
137	MUINM	A	1
138	PKNCY	A	1
139	IABJB	A	1
140	OXQAC	A	1
141	GOIRF	A	1
142	LWFUA	A	1
143	HVPNP	A	1
144	YMMVB	A	1
145	RPVTQ	A	1
146	CIIPQ	A	1
147	CQBOO	A	1
148	DLBKS	A	1
149	CNCVW	A	1
150	OHETO	A	1
151	XYLWA	A	1
152	JPQHX	A	1
153	SYHVW	A	1
154	TWWFM	A	1
155	HOPEN	A	1
156	DZJYT	A	1
157	HCBEP	A	1
158	IAXXV	A	1
159	ZKIWF	A	1
160	JCHAL	A	1
161	LLRBB	A	1
162	FQRXO	A	1
163	ESXEO	A	1
164	AFFFJ	A	1
165	AZYPW	A	1
166	ZXRZM	A	1
167	KSRMR	A	1
168	KQCHM	A	1
169	BTEUV	A	1
170	STIIE	A	1
171	ZTADG	A	1
172	XDDVN	A	1
173	IBEJJ	A	1
174	MLQJX	A	1
175	AONCA	A	1
176	NJEKH	A	1
177	NORJD	A	1
178	IQKCE	A	1
179	LYVXH	A	1
180	QCAUY	A	1
181	ECURB	A	1
182	AMRFR	A	1
183	AIGYV	A	1
184	MUOZU	A	1
185	ZNMSD	A	1
186	FOKQO	A	1
187	DLJPV	A	1
188	XWYAC	A	1
189	IQNUZ	A	1
190	QRDTB	A	1
191	DBGAR	A	1
192	BXGRZ	A	1
193	ASYIE	A	1
194	MSXAO	A	1
195	CUSCZ	A	1
196	VMCJT	A	1
197	DFLXO	A	1
198	GDNSF	A	1
199	ZZDKX	A	1
200	ZLFGF	A	1
201	AJEWT	A	1
202	JPZFT	A	1
203	GANBL	A	1
204	VHGEG	A	1
205	CTSTH	A	1
206	LWYWO	A	1
207	QBEZB	A	1
208	GNVEW	A	1
209	KALYJ	A	1
210	CESAL	A	1
211	GDNHZ	A	1
212	FUWLT	A	1
213	VAOHB	A	1
214	AQAPH	A	1
215	OFYRD	A	1
216	CLDAD	A	1
217	VGANU	A	1
218	YKQZX	A	1
219	CMWJY	A	1
220	VHJEG	A	1
221	LHCXH	A	1
222	GSDVJ	A	1
223	BDYVO	A	1
224	DNGNE	A	1
225	QUJFY	A	1
226	DUEXB	A	1
227	QLBUI	A	1
228	ZVOWO	A	1
229	CYYOG	A	1
230	JIRUM	A	1
231	GRKIV	A	1
232	MMXJM	A	1
233	JFZYB	A	1
234	CSIKB	A	1
235	RVHAA	A	1
236	SIFZA	A	1
237	OOVJK	A	1
238	JWHXX	A	1
239	QEKBR	A	1
240	KLVLA	A	1
241	CXTOR	A	1
242	LGFRZ	A	1
243	GCVLF	A	1
244	KBSNR	A	1
245	NXRXF	A	1
246	TLOPO	A	1
247	FNNAL	A	1
248	DYKGY	A	1
249	HSIOD	A	1
250	HHYER	A	1
251	PYPMK	A	1
252	RQUBC	A	1
253	PYVBH	A	1
254	LGHNE	A	1
255	QGPSO	A	1
256	WJIED	A	1
257	AVQIT	A	1
258	IKUJL	A	1
259	QZDWV	A	1
260	CKKSD	A	1
261	UTEBJ	A	1
262	VGQTH	A	1
263	JFQWD	A	1
264	INHUD	A	1
265	FWJHP	A	1
266	SRFEG	A	1
267	VSDXZ	A	1
268	FMMXF	A	1
269	YWUBQ	A	1
270	MRADV	A	1
271	SLCKX	A	1
272	XFLRJ	A	1
273	OEUYP	A	1
274	WSUJV	A	1
275	FWAOX	A	1
276	KYQCJ	A	1
277	XASCI	A	1
278	AKPRO	A	1
279	MKDTL	A	1
280	MQZCS	A	1
281	ECCNP	A	1
282	QTQPA	A	1
283	UVZFW	A	1
284	ZGWMH	A	1
285	HURJR	A	1
286	BRCLH	A	1
287	KLCZZ	A	1
288	DKCRM	A	1
289	YHNZJ	A	1
290	BYXPW	A	1
291	UPCRI	A	1
292	YMZHY	A	1
293	SJYSD	A	1
294	JGSRH	A	1
295	PROOK	A	1
296	YKDJJ	A	1
297	LEWFY	A	1
298	RKTUO	A	1
299	YVURJ	A	1
300	PQEDB	A	1
301	PPLBF	A	1
302	MIWUP	A	1
303	KFOLH	A	1
304	XOHPK	A	1
305	UZAAN	A	1
306	OKEOU	A	1
307	SNODT	A	1
308	CSJAK	A	1
309	CQZFV	A	1
310	OZYEO	A	1
311	NHXSU	A	1
312	EOYJY	A	1
313	TYRCB	A	1
314	VTVDU	A	1
315	KTNPA	A	1
316	WAHYD	A	1
317	SCYDF	A	1
318	HRMLB	A	1
319	YDRQC	A	1
320	VLMSM	A	1
321	HQJPU	A	1
322	UFKRF	A	1
323	RNITN	A	1
324	RKCNZ	A	1
325	MQSOP	A	1
326	FGIDE	A	1
327	VRVEA	A	1
328	MSVCX	A	1
329	YBVWX	A	1
330	LVNMM	A	1
331	KQDTX	A	1
332	ANBMZ	A	1
333	KSNAQ	A	1
334	MODTA	A	1
335	LDIEZ	A	1
336	HNOGJ	A	1
337	EXJIC	A	1
338	VRPIJ	A	1
339	RJYTP	A	1
340	GYPUJ	A	1
341	CJTBP	A	1
342	ILPDP	A	1
343	ZUWNT	A	1
344	JRZEK	A	1
345	GVLKW	A	1
346	DHAYK	A	1
347	RXICY	A	1
348	DXAUC	A	1
349	CAPBY	A	1
350	IZMMJ	A	1
351	VVTZQ	A	1
352	JGFPQ	A	1
353	LQOVX	A	1
354	QNKAI	A	1
355	ZUBEO	A	1
356	GRWLE	A	1
357	QDGAO	A	1
358	LKYNI	A	1
359	SYXIL	A	1
360	NWAGY	A	1
361	WDNQB	A	1
362	UBBQG	A	1
363	MKGRT	A	1
364	DFKGZ	A	1
365	WBQQE	A	1
366	KRODF	A	1
367	SDIWY	A	1
368	EBWGK	A	1
369	LEZOT	A	1
370	OJCTA	A	1
371	GRBTF	A	1
372	XRHMP	A	1
373	BUYPU	A	1
374	OENYH	A	1
375	RHGQX	A	1
376	LNHJS	A	1
377	RGFTW	A	1
378	ZWXWK	A	1
379	MCKGV	A	1
380	NTDTD	A	1
381	YTLEM	A	1
382	CJSRQ	A	1
383	TUUIQ	A	1
384	GPWTG	A	1
385	UCEYZ	A	1
386	IWAOM	A	1
387	QKXLX	A	1
388	EWSVN	A	1
389	NKJYP	A	1
390	OLFFP	A	1
391	XJHIN	A	1
392	OWNTW	A	1
393	RSFOQ	A	1
394	GRPRK	A	1
395	QUOSY	A	1
396	XOYTS	A	1
397	YRUDM	A	1
398	FMZYA	A	1
399	XLOOY	A	1
400	VCKJA	A	1
932	FBLIH	B	1
933	CKAKF	B	1
934	YOSIB	B	1
936	JXKNE	B	1
937	JLMND	B	1
938	LEAUR	B	1
939	ECXEL	B	1
941	RZIDM	B	1
942	VAPGD	B	1
943	MDABK	B	1
944	FIAED	B	1
945	XPVTP	B	1
947	KGVRE	B	1
948	ZHERW	B	1
949	DKFZM	B	1
950	QVBFP	B	1
952	NDNWG	B	1
953	XTPJI	B	1
954	JOKYM	B	1
956	JHUML	B	1
957	GFUEV	B	1
958	YMYIP	B	1
960	GQDID	B	1
961	NSEZF	B	1
963	DOJMB	B	1
964	AXJRS	B	1
965	RUWBR	B	1
966	SVPXO	B	1
967	VAUAJ	B	1
968	WVWWX	B	1
970	MTOEZ	B	1
971	BWMDR	B	1
972	ZRGVS	B	1
975	AMART	B	1
976	FEYXA	B	1
977	YBRVI	B	1
978	RWASE	B	1
980	AIGUH	B	1
984	GRMXH	B	1
985	XIDWA	B	1
986	OCFRN	B	1
987	BYEOM	B	1
992	UCPGO	B	1
993	LKAJU	B	1
994	MRQCP	B	1
995	ADEMO	B	1
996	ISEXX	B	1
997	KVELM	B	1
998	YEWLT	B	1
1000	IMQVR	B	1
1001	FEKJV	B	1
1002	XRKKD	B	1
1004	WUEVP	B	1
1005	IJOJG	B	1
1007	NLEBG	B	1
1008	MHQGZ	B	1
1009	PRPXD	B	1
1010	XIQHB	B	1
1011	EHCSW	B	1
1013	MXNCY	B	1
1014	AQZAX	B	1
1015	XPLOY	B	1
1016	ZHCDZ	B	1
1017	TZMWT	B	1
1018	NESVJ	B	1
1019	WQNNJ	B	1
1020	URPZG	B	1
1021	SZZDE	B	1
1022	XULZS	B	1
1023	LUWNX	B	1
1024	HODXE	B	1
1025	VJKYP	B	1
1027	UYARE	B	1
1029	LLTDU	B	1
1030	CPQEL	B	1
1032	KBCCG	B	1
1034	XSFEP	B	1
1035	XQANQ	B	1
1036	VFHCN	B	1
1038	XYJIP	B	1
1039	REHHH	B	1
1040	SDRFA	B	1
1041	KWBRR	B	1
1042	YFJEB	B	1
1043	DQLYE	B	1
1045	LSMSQ	B	1
1047	EAWNL	B	1
1049	ILOFZ	B	1
1050	JPXLT	B	1
1051	OOJUV	B	1
1052	LOICA	B	1
1054	UFOKM	B	1
1055	NJUDQ	B	1
1056	UJQFG	B	1
1058	ELTKA	B	1
1060	USHEE	B	1
1061	HFACF	B	1
1062	FSOJO	B	1
1063	QMSAN	B	1
1066	ZAUBL	B	1
1067	DMPNL	B	1
1069	PKNCY	B	1
1071	OXQAC	B	1
1072	GOIRF	B	1
1073	LWFUA	B	1
1074	HVPNP	B	1
1076	RPVTQ	B	1
1077	CIIPQ	B	1
1078	CQBOO	B	1
1080	CNCVW	B	1
1081	OHETO	B	1
1085	TWWFM	B	1
1089	IAXXV	B	1
1090	ZKIWF	B	1
1091	JCHAL	B	1
1092	LLRBB	B	1
1093	FQRXO	B	1
1094	ESXEO	B	1
1097	ZXRZM	B	1
1098	KSRMR	B	1
1099	KQCHM	B	1
1100	BTEUV	B	1
1101	STIIE	B	1
1103	XDDVN	B	1
1104	IBEJJ	B	1
1105	MLQJX	B	1
1106	AONCA	B	1
1107	NJEKH	B	1
1108	NORJD	B	1
1110	LYVXH	B	1
1111	QCAUY	B	1
1112	ECURB	B	1
1113	AMRFR	B	1
1114	AIGYV	B	1
1115	MUOZU	B	1
1116	ZNMSD	B	1
1120	IQNUZ	B	1
1121	QRDTB	B	1
