A	B	C	D
FBLIH	1	1	0	0
CKAKF	1	1	0	0
YOSIB	1	1	0	0
ASPLE	1	0	0	1
JXKNE	1	1	1	0
JLMND	1	1	1	1
LEAUR	1	1	1	0
ECXEL	1	1	0	1
XKIEX	1	0	1	0
RZIDM	1	1	0	0
VAPGD	1	1	0	0
MDABK	1	1	0	0
FIAED	1	1	0	0
XPVTP	1	1	0	1
IWNAV	1	0	0	0
KGVRE	1	1	0	0
ZHERW	1	1	0	0
DKFZM	1	1	0	1
QVBFP	1	1	0	0
UDIUU	1	0	0	0
NDNWG	1	1	0	0
XTPJI	1	1	0	0
JOKYM	1	1	1	0
WTWWF	1	0	1	0
JHUML	1	1	0	1
GFUEV	1	1	0	0
YMYIP	1	1	0	0
ZRKVC	1	0	0	1
GQDID	1	1	0	0
NSEZF	1	1	0	0
MIPBY	1	0	0	0
DOJMB	1	1	0	0
AXJRS	1	1	1	0
RUWBR	1	1	0	0
SVPXO	1	1	0	0
VAUAJ	1	1	1	1
WVWWX	1	1	0	0
YNJIV	1	0	0	0
MTOEZ	1	1	1	0
BWMDR	1	1	0	0
ZRGVS	1	1	1	0
PACMH	1	0	0	0
MXPQW	1	0	0	1
AMART	1	1	0	0
FEYXA	1	1	0	0
YBRVI	1	1	0	0
RWASE	1	1	0	0
VLLJN	1	0	1	1
AIGUH	1	1	0	0
FHGMD	1	0	0	1
OLAMG	1	0	0	0
HLYXD	1	0	0	0
GRMXH	1	1	1	1
XIDWA	1	1	1	0
OCFRN	1	1	0	1
BYEOM	1	1	1	1
ESLQL	1	0	0	1
VOUMY	1	0	0	1
ERXOK	1	0	0	0
ACLKL	1	0	1	0
UCPGO	1	1	0	0
LKAJU	1	1	0	0
MRQCP	1	1	1	0
ADEMO	1	1	0	1
ISEXX	1	1	1	1
KVELM	1	1	1	0
YEWLT	1	1	0	0
PEGPT	1	0	0	0
IMQVR	1	1	0	1
FEKJV	1	1	0	1
XRKKD	1	1	0	0
ZRVVU	1	0	0	0
WUEVP	1	1	0	0
IJOJG	1	1	0	1
YLWWB	1	0	0	0
NLEBG	1	1	0	0
MHQGZ	1	1	0	1
PRPXD	1	1	0	1
XIQHB	1	1	0	1
EHCSW	1	1	0	1
LSIUN	1	0	0	0
MXNCY	1	1	0	0
AQZAX	1	1	0	0
XPLOY	1	1	0	1
ZHCDZ	1	1	0	0
TZMWT	1	1	1	0
NESVJ	1	1	0	0
WQNNJ	1	1	0	0
URPZG	1	1	0	0
SZZDE	1	1	1	1
XULZS	1	1	1	0
LUWNX	1	1	0	0
HODXE	1	1	0	1
VJKYP	1	1	1	1
UMTCH	1	0	0	0
UYARE	1	1	1	1
KNUDK	1	0	0	1
LLTDU	1	1	0	0
CPQEL	1	1	0	1
DZWMP	1	0	0	1
KBCCG	1	1	0	1
XTNJH	1	0	0	0
XSFEP	1	1	0	1
XQANQ	1	1	0	0
VFHCN	1	1	0	0
RPQFU	1	0	0	0
XYJIP	1	1	0	1
REHHH	1	1	0	0
SDRFA	1	1	0	0
KWBRR	1	1	1	1
YFJEB	1	1	0	0
DQLYE	1	1	1	0
JDHIC	1	0	0	0
LSMSQ	1	1	0	1
LFCWG	1	0	1	0
EAWNL	1	1	1	1
HHQRE	1	0	0	0
ILOFZ	1	1	0	0
JPXLT	1	1	0	0
OOJUV	1	1	0	0
LOICA	1	1	0	1
NLZLI	1	0	0	1
UFOKM	1	1	0	1
NJUDQ	1	1	0	0
UJQFG	1	1	0	0
JGZYQ	1	0	1	0
ELTKA	1	1	0	1
FKPOU	1	0	0	1
USHEE	1	1	0	0
HFACF	1	1	1	0
FSOJO	1	1	1	0
QMSAN	1	1	0	0
WKOCP	1	0	1	0
OQLQS	1	0	0	1
ZAUBL	1	1	0	0
DMPNL	1	1	0	0
MUINM	1	0	0	0
PKNCY	1	1	0	0
IABJB	1	0	0	0
OXQAC	1	1	0	0
GOIRF	1	1	1	1
LWFUA	1	1	1	0
HVPNP	1	1	1	0
YMMVB	1	0	0	0
RPVTQ	1	1	0	0
CIIPQ	1	1	0	0
CQBOO	1	1	0	1
DLBKS	1	0	0	0
CNCVW	1	1	1	0
OHETO	1	1	0	1
XYLWA	1	0	0	0
JPQHX	1	0	1	1
SYHVW	1	0	0	1
TWWFM	1	1	1	0
HOPEN	1	0	0	0
DZJYT	1	0	0	1
HCBEP	1	0	0	0
