mpg_grp	name	sd	mpg_z
low	Cadillac Fleetwood	NA	-1.60788261591884
low	Lincoln Continental	NA	-1.60788261591884
low	Camaro Z28	NA	-1.12671039161291
low	Duster 360	NA	-0.960788934955696
low	Chrysler Imperial	NA	-0.89442035229281
low	Maserati Bora	NA	-0.844643915295645
low	Merc 450SLC	NA	-0.811459623964201
low	AMC Javelin	NA	-0.811459623964201
low	Dodge Challenger	NA	-0.761683186967036
low	Ford Pantera L	NA	-0.711906749969871
low	Merc 450SE	NA	-0.612353875975541
low	Merc 450SL	NA	-0.463024564984046
low	Merc 280C	NA	-0.380063836655437
low	Valiant	NA	-0.330287399658272
low	Hornet Sportabout	NA	-0.230734525663942
low	Merc 280	NA	-0.147773797335334
low	Pontiac Firebird	NA	-0.147773797335334
low	Ferrari Dino	NA	-0.0648130690067253
high	Mazda RX4	NA	0.150884824647657
high	Mazda RX4 Wag	NA	0.150884824647657
high	Hornet 4 Drive	NA	0.217253407310543
high	Volvo 142E	NA	0.217253407310543
high	Toyota Corona	NA	0.233845552976265
high	Datsun 710	NA	0.449543446630647
high	Merc 230	NA	0.449543446630647
high	Merc 240D	NA	0.715017777282194
high	Porsche 914-2	NA	0.980492107933741
high	Fiat X1-9	NA	1.19619000158812
high	Honda Civic	NA	1.7105465172255
high	Lotus Europa	NA	1.7105465172255
high	Fiat 128	NA	2.04238943053993
high	Toyota Corolla	NA	2.29127161552575
