major	minor	variable	sd	value
A3	African	NS4A	NA	0.259842519685
A3	African	NS2A	NA	0.235555555556
A3	African	C	NA	0.270491803279
A3	African	NS5	NA	0.266075388027
A3	African	prM	NA	0.208333333333
A3	African	NS1	NA	0.286931818182
A3	African	NS4B	NA	0.306772908367
A3	African	E	NA	0.238095238095
A3	African	NS2B	NA	0.230769230769
A3	African	NS3	NA	0.285251215559
A3	South_Eastern_Asian	NS4A	NA	0.244094488189
A3	South_Eastern_Asian	NS2A	NA	0.216814159292
A3	South_Eastern_Asian	C	NA	0.262295081967
A3	South_Eastern_Asian	NS5	NA	0.25138427464
A3	South_Eastern_Asian	prM	NA	0.232142857143
A3	South_Eastern_Asian	NS1	NA	0.269886363636
A3	South_Eastern_Asian	NS4B	NA	0.254980079681
A3	South_Eastern_Asian	E	NA	0.257936507937
A3	South_Eastern_Asian	NS2B	NA	0.246153846154
A3	South_Eastern_Asian	NS3	NA	0.256077795786
A3	Oceania-American	NS4A	NA	0.244094488189
A3	Oceania-American	NS2A	NA	0.212389380531
A3	Oceania-American	C	NA	0.270491803279
A3	Oceania-American	NS5	NA	0.25138427464
A3	Oceania-American	prM	NA	0.238095238095
A3	Oceania-American	NS1	NA	0.264204545455
A3	Oceania-American	NS4B	NA	0.254980079681
A3	Oceania-American	E	NA	0.261904761905
A3	Oceania-American	NS2B	NA	0.230769230769
A3	Oceania-American	NS3	NA	0.260940032415
T3	African	NS4A	NA	0.157480314961
T3	African	NS2A	NA	0.222222222222
T3	African	C	NA	0.139344262295
T3	African	NS5	NA	0.187361419069
T3	African	prM	NA	0.214285714286
T3	African	NS1	NA	0.207386363636
T3	African	NS4B	NA	0.199203187251
T3	African	E	NA	0.198412698413
T3	African	NS2B	NA	0.276923076923
T3	African	NS3	NA	0.217179902755
T3	South_Eastern_Asian	NS4A	NA	0.141732283465
T3	South_Eastern_Asian	NS2A	NA	0.194690265487
T3	South_Eastern_Asian	C	NA	0.188524590164
T3	South_Eastern_Asian	NS5	NA	0.177187153931
T3	South_Eastern_Asian	prM	NA	0.214285714286
T3	South_Eastern_Asian	NS1	NA	0.193181818182
T3	South_Eastern_Asian	NS4B	NA	0.175298804781
T3	South_Eastern_Asian	E	NA	0.208333333333
T3	South_Eastern_Asian	NS2B	NA	0.215384615385
T3	South_Eastern_Asian	NS3	NA	0.228525121556
T3	Oceania-American	NS4A	NA	0.125984251969
